,date,team,formation,team_xGoals,team_xAssists,rolling_team_xGoals,rolling_team_xAssists
162,2020-11-30,sampdoria,,0.9400000000000002,0.7000000000000002,1.004,0.5839999999999999
163,2020-11-30,torino,,-1.9499999999999997,0.05999999999999993,2.478,1.1400000000000001
164,2020-12-05,bologna,,1.06,-1.17,2.7020000000000004,-0.664
165,2020-12-05,inter,,0.6700000000000002,0.6999999999999998,-1.424,0.578
166,2020-12-05,juventus,"['szczesny', 'cuadrado', 'de ligt', 'bonucci', 'danilo', 'kulusevski', 'arthur', 'rabiot', 'bernardeschi', 'dybala', 'ronaldo']",1.8799999999999997,-3.1,0.9159999999999998,-0.05000000000000014
167,2020-12-05,lazio,"['reina', 'luiz felipe', 'acerbi', 'radu', 'lazzari', 'milinkovic', 'leiva', 'luis alberto', 'marusic', 'pereira', 'immobile']",0.3299999999999999,-0.99,-0.29,-0.312
168,2020-12-05,spezia,"['provedel', 'sala', 'terzi', 'erlic', 'bastoni', 'bartolomei', 'ricci', 'maggiore', 'gyasi', 'nzola', 'farias']",-0.3400000000000001,2.65,1.22,2.606
169,2020-12-05,torino,"['sirigu', 'izzo', 'lyanco', 'rodriguez', 'singo', 'meitè', 'rincon', 'linetty', 'ansaldi', 'belotti', 'zaza']",2.9200000000000004,-2.01,1.666,0.8539999999999999
170,2020-12-06,milan,"['donnarumma', 'calabria', 'gabbia', 'romagnoli', 'theo hernandez', 'tonali', 'kessié', 'saelemaekers', 'calhanogu', 'hauge', 'rebic']",-2.36,-4.550000000000001,-0.11200000000000024,-1.8939999999999997
171,2020-12-06,roma,"['mirante', 'ibanez', 'cristante', 'juan jesus', 'karsdorp', 'pellegrini', 'villar', 'spinazzola', 'pedro', 'mkhitaryan', 'dzeko']",-2.07,-2.95,-2.0420000000000003,-1.4979999999999998
172,2020-12-06,cagliari,,0.8600000000000003,1.91,3.758,2.6759999999999997
173,2020-12-06,parma,,-0.3500000000000001,-1.28,0.61,0.06000000000000003
174,2020-12-06,napoli,"['meret', 'di lorenzo', 'manolas', 'koulibaly', 'mario rui', 'elmas', 'bakayoko', 'zielinski', 'lozano', 'mertens', 'insigne']",4.22,0.2700000000000002,3.3099999999999996,3.25
175,2020-12-06,verona,,-1.2200000000000002,-3.05,-1.746,-0.9740000000000002
176,2020-12-06,sassuolo,"['consigli', 'toljan', 'marlon', 'ferrari', 'rogerio', 'locatelli', 'lopez', 'berardi', 'djuricic', 'boga', 'raspadori']",2.8400000000000007,0.7799999999999998,1.846,1.244
177,2020-12-06,crotone,"['cordaz', 'magallan', 'marrone', 'luperto', 'pereira', 'molina', 'petriccione', 'benali', 'reca', 'simy', 'messias']",-0.020000000000000018,-1.9100000000000001,-1.52,-0.636
178,2020-12-06,sampdoria,"['audero', 'bereszynski', 'yoshida', 'tonelli', 'augello', 'candreva', 'thorsby', 'ekdal', 'damsgaard', 'ramirez', 'quagliarella']",1.5400000000000005,1.69,1.282,0.698
179,2020-12-06,benevento,,5.3100000000000005,0.2199999999999998,3.3480000000000003,0.8059999999999998
180,2020-12-07,fiorentina,"['ragowski', 'caceres', 'milenkovic', 'pezzella', 'biraghi', 'amrabat', 'duncan', 'callejon', 'castrovilli', 'ribery', 'vlahovic']",1.6400000000000003,1.2600000000000002,1.8319999999999996,1.092
181,2020-12-07,genoa,"['paleari', 'oldaniga', 'bani', 'zapata', 'pellegrini', 'ghiglione', 'lerager', 'badelj', 'sturaro', 'homurodov', 'scamacca']",-4.16,0.6499999999999997,-0.5000000000000002,0.7579999999999998
182,2020-12-11,sassuolo,"['onsigli', 'toljan', 'marlon', 'ferrari', 'kyriakopoulos', 'locatelli', 'lopez', 'berardi', 'djuricic', 'boga', 'raspadori     la probabile formazione del benevento   leggi anche         serie a', 'la presentazione dell11^ giornata    sistema di gioco confermato anche per pippo inzaghi', 'che si affida al solito 4-3-2-1 a guidare lattacco sarà gianluca  lapadula ', 'con ionita e caprari a supporto']",2.46,-0.52,2.0360000000000005,1.392
183,2020-12-11,benevento,"['c', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",,,3.6580000000000004,0.5579999999999998
184,2020-12-12,lazio,,2.22,-1.7200000000000002,0.021999999999999974,-0.40800000000000003
185,2020-12-12,udinese,,0.81,-0.76,-3.2260000000000004,-1.9400000000000006
186,2020-12-12,verona,,-1.42,-4.12,-1.6940000000000002,-1.3800000000000001
