,match_id,date,time,matchday,team,opponent,place,result,s_goals,c_goals,team_streak,opp_streak,team_last_five,opp_last_five,rank_team,rank_opponent,team_xGoals,team_xAssists,opp_xGoals,opp_xAssists,team_shots_total,opp_shots_total,team_ball_possession,opp_ball_possession,rolling_s_goals,rolling_c_goals,rolling_team_xGoals,rolling_team_xAssists,rolling_opp_xGoals,rolling_opp_xAssists,rolling_team_shots_total,rolling_opp_shots_total,rolling_team_ball_possession,rolling_opp_ball_possession
65,59203,2020-10-18,12,4,sassuolo,bologna,A,W,4,3,2.5,0,"[0, 0, 0, 1, 1]","[0, 0, -1, 1, -1]",3.0,11.0,1.8400000000000003,2.04,0.9599999999999996,-1.4700000000000002,25,14,0.53,0.47,3.0,1.0,-0.785,0.5150000000000001,-0.74,-0.20999999999999996,19.0,11.666666666666666,0.6233333333333334,0.3766666666666667
66,59204,2020-10-18,15,4,spezia,fiorentina,H,D,2,2,0,0,"[0, 0, -1, 1, -1]","[0, 0, 1, -1, -1]",15.0,12.0,-0.48000000000000004,0.54,0.21999999999999997,-1.14,12,9,0.52,0.48,1.0,2.3333333333333335,-0.27,0.8500000000000001,-1.5799999999999998,-0.38999999999999996,6.666666666666667,15.666666666666666,0.4166666666666667,0.5833333333333334
67,59204,2020-10-18,15,4,fiorentina,spezia,A,D,2,2,0,0,"[0, 0, 1, -1, -1]","[0, 0, -1, 1, -1]",12.0,15.0,0.21999999999999997,-1.14,-0.48000000000000004,0.54,9,12,0.48,0.52,1.6666666666666667,2.0,-0.615,-0.99,-0.03000000000000007,0.16000000000000006,15.666666666666666,15.0,0.49,0.51
68,59205,2020-10-18,15,4,torino,cagliari,H,L,2,3,0,0,"[0, 0, 0, -1, -1]","[0, 0, 0, -1, -1]",18.0,17.0,1.23,1.4,0.7499999999999999,1.54,13,12,0.59,0.41,1.0,2.5,-0.57,-0.43,,,6.5,16.5,0.475,0.525
69,59205,2020-10-18,15,4,cagliari,torino,A,W,3,2,0,0,"[0, 0, 0, -1, -1]","[0, 0, 0, -1, -1]",17.0,18.0,0.7499999999999999,1.54,1.23,1.4,12,13,0.41,0.59,1.0,2.6666666666666665,-0.3400000000000001,0.12499999999999994,3.7300000000000004,3.12,9.666666666666666,23.333333333333332,0.39666666666666667,0.6033333333333334
70,59206,2020-10-18,18,4,udinese,parma,H,W,3,2,0,1,"[0, 0, -1, -1, -1]","[0, 0, -1, -1, 1]",19.0,16.0,-4.81,-1.76,-0.46999999999999986,-0.05999999999999994,16,9,0.41,0.59,0.0,1.3333333333333333,-2.67,-1.1,-1.2066666666666668,-0.7000000000000001,15.0,10.333333333333334,0.48666666666666664,0.5133333333333333
71,59206,2020-10-18,18,4,parma,udinese,A,L,2,3,1,0,"[0, 0, -1, -1, 1]","[0, 0, -1, -1, -1]",16.0,19.0,-0.46999999999999986,-0.05999999999999994,-4.81,-1.76,9,16,0.59,0.41,0.6666666666666666,2.0,-0.18999999999999995,-0.05000000000000005,-0.46,-0.68,8.666666666666666,12.333333333333334,0.39999999999999997,0.6
72,59207,2020-10-18,20,4,roma,benevento,H,W,5,2,1.5,1,"[0, 0, -1, 0, 1]","[0, 0, 1, -1, 1]",7.0,6.0,-2.33,-2.47,3.6500000000000004,0.56,20,10,0.52,0.48,1.0,1.6666666666666667,-2.14,-1.625,-1.1949999999999998,-0.20999999999999996,15.0,8.666666666666666,0.5233333333333333,0.4766666666666666
73,59207,2020-10-18,20,4,benevento,roma,A,L,2,5,1,1.5,"[0, 0, 1, -1, 1]","[0, 0, -1, 0, 1]",6.0,7.0,3.6500000000000004,0.56,-2.33,-2.47,10,20,0.48,0.52,2.0,2.3333333333333335,2.07,0.09,0.6166666666666666,0.40333333333333327,10.666666666666666,14.666666666666666,0.44333333333333336,0.5566666666666666
74,59208,2020-10-19,20,4,verona,genoa,H,D,0,0,0,0,"[0, 0, 1, 1, -1]","[0, 0, 0, 1, -1]",9.0,13.0,-0.25999999999999995,-0.74,0.3299999999999999,1.5500000000000003,18,6,0.58,0.42,1.3333333333333333,0.3333333333333333,-0.51,-0.63,-0.28999999999999987,-0.0500000000000001,10.0,18.0,0.48666666666666664,0.5133333333333333
75,59208,2020-10-19,20,4,genoa,verona,A,D,0,0,0,0,"[0, 0, 0, 1, -1]","[0, 0, 1, 1, -1]",13.0,9.0,0.3299999999999999,1.5500000000000003,-0.25999999999999995,-0.74,6,18,0.42,0.58,2.0,3.5,1.42,0.95,0.61,-0.5,10.0,15.5,0.45499999999999996,0.5449999999999999
76,59209,2020-10-23,20,5,sassuolo,torino,H,D,3,3,3.5,0,"[0, 0, 1, 1, 1]","[0, 0, -1, -1, -1]",2.0,20.0,0.5499999999999998,1.8599999999999999,2.3,0.81,17,17,0.72,0.28,3.25,1.5,0.09000000000000008,1.0233333333333334,0.10999999999999982,-0.8400000000000001,20.5,12.25,0.6000000000000001,0.4
77,59209,2020-10-23,20,5,torino,sassuolo,A,D,3,3,0,3.5,"[0, 0, -1, -1, -1]","[0, 0, 1, 1, 1]",20.0,2.0,2.3,0.81,0.5499999999999998,1.8599999999999999,17,17,0.28,0.72,1.3333333333333333,2.6666666666666665,0.33,0.485,0.7499999999999999,1.54,8.666666666666666,15.0,0.5133333333333333,0.48666666666666664
